25879,2784,49864,23497,34109,40264,46847,28108,21477,46641,7344,28530,48536,18394,5893,29948,48837,19924,21788,21584,35692,38975,27550,8687,9893,1390,296,17640,9166,42953,1858,20049,13486,45372,30157,21738,46741,46158,4909,8103,6383,35699,45642,29284,26677,1958,10058,19516,48260,15710,2396,21691,42936,17533,40002,21194,12824,27000,21884,38709,23338,20156,48774,13863,48615,23122,34935,19183,48893,18791,37444,43117,20791,34776,1676,42862,13143,6726,10933,37221,33537,32742,37819,43321,29893,13161,24092,48414,19654,7373,27090,47286,3460,1442,21695,22297,2607,46645,25858,10026,11393
14862,27532,13687,13344,35185,6004,20708,21270,27358,15797,25951,43855,18656,6629,5090,6555,49869,28651,36254,1673,40027,40497,11955,13280,2435,27782,48261,36835,48267,1143,24501,19930,41660,16528,29540,906,47811,23724,16394,11277,47992,34628,35459,16707,516,10058,33699,44234,2794,25870,40092,24381,18628,17143,28131,29250,33197,9717,32642,30213,33331,17179,6383,29163,3535,21801,29836,1590,34212,9462,11898,9338,21451,20607,15436,47220,47241,20120,23432,14065,4925,4545,26413,38870,40149,6729,15604,45630,2862,8155,41651,20092,10350,21063,25561,43758,10029,32032,13663,34795
18272,5522,7196,12285,1975,526,11543,36390,38939,17221,33100,46146,45254,22253,35399,48299,11077,3025,38044,47704,5948,26393,37135,48427,24971,12072,29621,40248,22485,44405,20841,49616,13388,14553,1648,982,23536,27807,43233,39693,31515,20122,49603,36068,33061,34332,31390,11879,10807,18985,23773,12944,45321,475,31574,25301,32589,2937,333,37151,33853,37996,46635,34152,23366,35969,19088,41162,24811,15128,35109,26171,41277,47226,17070,5216,2332,48604,12647,16788,26949,12331,15556,7990,17486,42575,19530,21219,24767,30205,20291,49992,32077,6576,16825,4557,4013,25885,23909,34642
47324,5195,48434,40910,43595,11141,4556,20820,37147,12295,3583,8395,37923,13471,28086,19782,24887,14120,2890,4912,49650,13948,7140,47553,26761,24129,32606,12330,12765,9350,16881,36449,598,38665,5545,47830,36873,49991,2024,10432,38099,19401,41075,35955,41420,1361,9740,35003,22411,9851,21716,16692,36465,35550,27562,37949,15401,32629,11338,8790,15526,22842,25887,16672,10235,21811,7502,38050,12498,45885,9385,24814,3555,7913,2736,49086,18291,43206,49505,8799,47733,32738,24886,7249,451,49422,7195,26452,13867,9722,49739,43252,8081,38950,32638,49795,9981,42505,33310,32450
40844,26672,1243,49419,39792,45180,31988,41003,43558,1498,32276,29603,21346,2693,38425,33127,20631,27365,3106,21150,32519,13119,28292,34176,21492,18055,44271,3106,23595,17266,47215,30131,4487,38411,40543,13702,27353,39900,16084,15643,44455,29247,34732,3375,23616,20740,15510,15933,91,27262,1832,45574,13334,42672,42939,26912,26912,32887,12891,16075,31707,6356,2728,26854,48748,28329,5882,17336,37985,49999,48243,3852,21492,879,26177,19670,4314,25990,12163,38715,44926,8380,21112,27064,11979,2975,8353,28700,19736,28010,37715,10868,49745,47707,25993,8192,36731,44242,46959,32526
16934,5192,43758,2349,48558,35143,20817,23392,39019,43221,45357,42057,7617,36613,27313,46469,38885,44132,46284,36333,7237,30492,6639,17893,13857,12372,42581,46927,16492,25735,36434,6237,33362,39099,39472,23872,35132,39159,13851,35442,25570,17285,9605,184,31738,29486,2170,43859,43925,14379,13012,22659,17779,34094,13388,30944,39045,15462,24680,3103,44879,34681,36423,39750,20179,12905,9774,24052,7428,13711,6449,5398,44553,36789,16657,2024,39995,44583,6443,30443,21735,24293,1848,32025,14409,43116,41649,33300,32538,33523,26168,2331,40202,42055,931,6531,23573,54,20551,19467
6516,6744,14332,39680,10024,12722,9318,6601,25765,20980,44581,8986,39703,10662,6485,38610,48785,7828,39458,49856,5964,7336,10754,40158,25091,12220,7022,25256,39031,31393,26693,20000,33903,27162,48251,53,5551,36290,17501,42474,31313,3434,20943,24718,46128,47815,45929,38521,29743,33101,14189,2874,28264,33161,38128,29798,34080,34992,25968,34881,49284,41459,30058,40201,26644,39113,39249,30161,1191,43763,9024,6671,10994,34855,21524,8410,23770,151,38174,36520,4679,46111,608,35589,10939,43634,35895,46667,12559,42344,37996,46212,49683,10570,17126,10497,8009,28680,4190,40714
27760,25542,47681,47850,6042,14817,223,19930,16745,37185,19715,26371,49114,18264,2908,25381,38800,42626,45615,48494,37338,17848,21222,2301,30582,34969,20072,39126,32405,46284,24069,1910,16715,13624,37070,37625,40537,46717,14592,1632,441,2705,2905,30654,24793,899,34558,27278,17351,48195,33070,17158,811,16516,15432,47722,45088,20150,12406,3308,38414,3942,11023,5181,34029,11430,7118,8006,49758,17724,32047,18101,44256,14477,27758,39521,8145,42783,13758,30404,2458,45336,5857,42326,5679,26973,37523,26642,6579,7734,31040,9594,38235,34764,491,24031,40312,5783,23291,21536
11528,41055,42922,45637,46403,8814,17647,31488,27996,19525,31012,48333,22338,7008,37436,42497,19010,8903,25897,31636,25231,27329,32197,49290,31810,7268,42363,26178,44559,11077,41396,1677,28363,16610,21936,43954,25003,24992,2550,11084,5025,25414,8328,41875,21975,6177,42826,24950,37113,40944,14234,29379,46639,22033,26860,26034,38908,7678,22475,28616,34221,43026,34417,27910,6188,44833,11922,15425,18792,1141,31908,26246,32582,13622,28905,29194,10666,22584,1008,33502,33310,21545,4295,49436,36833,13715,8620,2347,48045,43688,36063,26062,5264,41931,26561,20003,39855,1931,30126,44489
43896,7909,26862,19375,49913,7753,39144,38209,9639,45543,43492,5543,32899,3650,12143,33236,17747,2322,21227,49520,31453,36027,5775,11580,46927,3246,13794,33731,36167,41212,39975,3498,23426,33206,3486,49596,17085,7116,33305,37811,11665,18814,20700,23023,15263,48435,40,9312,7383,13887,33024,33174,24976,19735,27237,45628,42428,19147,10779,49046,48401,16829,24775,20295,26302,12868,6269,8522,47041,22065,11319,1115,2128,6601,38906,30603,29253,6172,16216,22835,34977,22160,20971,40014,21430,38482,48867,22405,23594,31155,1657,5443,3149,42060,24024,46601,14606,44511,40665,47402
42605,9371,39017,1414,21177,45993,21632,7751,28738,32328,49981,35446,4826,38032,47320,6957,19433,613,21184,10708,29164,26044,4561,24268,13246,10186,12470,39402,12600,12754,3110,41168,15099,18929,11211,45867,33624,23777,35868,43016,44909,35858,7009,42087,2830,11122,13622,25636,25148,9925,9440,44397,13408,13143,29205,12101,46946,47993,7745,16702,27670,18050,30250,38403,8775,9934,45987,21055,12837,20347,45015,28014,13893,11243,2749,3594,5159,14701,22239,17566,2285,24231,2118,34193,21934,11919,13293,33870,41538,37718,7366,17996,22254,22716,41780,38976,33035,16444,20176,14219
